"ll,rb",Law,Information Services,Lederman Law Library - Special Collections,,LLIS,A,ZZ,Lederman Law Library - Special Collections,
"ll,rbfo",Law,Information Services,Lederman Law Library - Special Collections (folios),,LLIS,A,ZZ,Lederman Law Library - Special Collections (folios),
"ll,rf",Law,1st Floor,Lederman Law Library - Reference Section,,LL1,A,ZZ,Lederman Law Library - Reference Section,
"ll,rfold",Law,1st Floor,Lederman Law Library - Retired Reference Section,,LL1,A,ZZ,Lederman Law Library - Retired Reference Section,
"ll,roffice",Law,1st Floor,Lederman Law Library - Reference Office,,LL1,A,ZZ,Lederman Law Library - Reference Office,
"ll,rs1",Law,1st Floor,Lederman Law Library - Reserve (1 hr loan),,LL1,A,ZZ,Lederman Law Library - Reserve (1 hr loan),
"ll,rs24",Law,1st Floor,Lederman Law Library - Reserve (24 hour loan),,LL1,A,ZZ,Lederman Law Library - Reserve (24 hour loan),
"ll,rss",Law,1st Floor,Lederman Law Library - Reserve (3 hour loan),,LL1,A,ZZ,Lederman Law Library - Reserve (3 hour loan),
"ll,soff24",Law,1st Floor,Lederman Law Library - Staff Office (24 hour loan),,LL1,A,ZZ,Lederman Law Library - Staff Office (24 hour loan),
"ll,soff3",Law,1st Floor,Lederman Law Library - Staff Office (3 hour loan),,LL1,A,ZZ,Lederman Law Library - Staff Office (3 hour loan),
"ll,st",Law,Information Services,Lederman Law Library - Storage,,LLIS,A,ZZ,Lederman Law Library - Storage,
ll,law,Information Services,Reserve Item,RESERVE,LLIS,A,ZZ,Special Case - QCAT did not send a call number,
ar,Stauffer,2nd Floor,Art Collection,,SL2,A,ZZ,Art Collection,
AR-CIRC,Stauffer,2nd Floor,Art Circulation,,SL2,A,ZZ,,
"ar,excatfo",Stauffer,2nd Floor,Art Exhibition Catalogs Folios (non-circulating),,SL2,A,ZZ,Art Exhibition Catalogs Folios (non-circulating),
"ar,excats",Stauffer,2nd Floor,Art Exhibition Catalogs (non-circulating),,SL2,A,ZZ,Art Exhibition Catalogs (non-circulating),
"ar,fo",Stauffer,2nd Floor,Stauffer Library - Art Collection - Folios,,SL2,A,ZZ,Stauffer Library - Art Collection - Folios,
"ar,fon",Stauffer,2nd Floor,Stauffer Library - Art Collection - Folios (non-circulating),,SL2,A,ZZ,Stauffer Library - Art Collection - Folios (non-circulating),
"ar,j",Stauffer,2nd Floor,Bound Journals,,SL2,A,ZZ,Art Library - Journals,
